"k","WSS","Silhouette","Calinski_Harabasz"
2,130983.957540401,0.27972661973776,913.563283331857
3,123017.283312302,0.288536327911918,652.703260397725
4,114503.701469653,0.282351772627839,594.762776377977
5,108305.447632179,0.285742414456657,545.019884170026
6,103370.333438417,0.317795390662398,505.793506626601
7,98154.9953892162,0.307943073573708,489.28619232571
8,93424.0689780209,0.31628415618308,477.687402407083
9,87733.542526545,0.357556419553923,486.625216052281
10,83408.9457173863,0.363898084210815,484.4650368693
