"cluster","part_camara","n","Porcentaje"
"1",0,294,96.3934426229508
"1",1,11,3.60655737704918
"2",0,1798,73.2980024459845
"2",1,655,26.7019975540155
"3",0,2278,95.5136268343816
"3",1,107,4.48637316561845
