"cluster","part_senado","n","Porcentaje"
"1",0,302,99.016393442623
"1",1,3,0.983606557377049
"2",0,2244,91.4798206278027
"2",1,209,8.52017937219731
"3",0,2370,99.3710691823899
"3",1,15,0.628930817610063
