"","1","2","3","4","5","6","98","99"
"1",0,0,0,0,0,0,97.05,2.95
"2",0.86,0.53,0.04,0.04,1.02,0.45,15.82,81.25
"3",0,0,0,0,0,0,99.45,0.55
