"cluster","gradonac","n","Porcentaje"
"1",0,5,1.63934426229508
"1",1,300,98.3606557377049
"2",0,1952,79.5760293518141
"2",1,9,0.366897676314717
"2",99,492,20.0570729718712
"3",0,471,19.748427672956
"3",1,1825,76.5199161425576
"3",99,89,3.73165618448637
