"","1","2","3","4","5","6","7","98","99"
"1",0,0,0,0,0,0,0,0.66,99.34
"2",6.81,4.2,1.63,1.88,0.69,0.41,7.3,8.97,68.12
"3",0.34,0,0,0,0,0,0.71,31.74,67.21
