"cluster","part_presidencia","n","Porcentaje"
"1",0,303,99.344262295082
"1",1,2,0.655737704918033
"2",0,2394,97.5947818997146
"2",1,59,2.40521810028536
"3",0,2383,99.916142557652
"3",1,2,0.0838574423480084
