"cluster","ideologia","n","Porcentaje"
"1",2,38,12.4590163934426
"1",3,258,84.5901639344262
"1",4,9,2.95081967213115
"2",1,318,12.9637178964533
"2",2,23,0.937627395026498
"2",3,56,2.28291887484713
"2",4,2056,83.8157358336731
"3",1,96,4.0251572327044
"3",2,353,14.8008385744235
"3",3,1923,80.6289308176101
"3",4,13,0.545073375262054
