"cluster","part_concejo","n","Porcentaje"
"1",0,219,71.8032786885246
"1",1,86,28.1967213114754
"2",0,1527,62.2503057480636
"2",1,926,37.7496942519364
"3",0,2033,85.2410901467505
"3",1,352,14.7589098532495
