"cluster","grupo_representativo_2","n","Porcentaje"
"1",98,296,97.0491803278689
"1",99,9,2.95081967213115
"2",1,21,0.856094578067672
"2",2,13,0.529963310232369
"2",3,1,0.040766408479413
"2",4,1,0.040766408479413
"2",5,25,1.01916021198532
"2",6,11,0.448430493273543
"2",98,388,15.8173664900122
"2",99,1993,81.24745209947
"3",98,2372,99.454926624738
"3",99,13,0.545073375262054
