"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","cluster"
0.200859589107302,11.9161288277114,15.3275083958425,-9.56259070001456,3.40031650467014,13.9892658947043,1.56117107881434,3.95251652949536,-5.60180268731983,-2.10785642801919,0.184415919003609,-0.0329012053066951,-1.41105597848291,-1.35476514776141,0.450013072906374,-0.662267531095209,2.30082143447807,-2.78774988312634,-1.14879247032228,2.11385622069699,-0.188043691481302,-0.0702999119861122,9.44327015633255,0.482965636910609,-0.329740685709781,1.11372469316781,-0.0143831637967806,0.122146548892418,-0.00752860454665184,0.00618340908432786,"4"
0.00590437137627576,7.90291806352018,10.0949399934344,-6.04608414136398,0.591693345540486,0.356182207251194,-0.954168215962614,0.275235025129709,-0.0208078570087904,-0.455404273905094,-0.217058493201709,-0.0484621954657936,-0.248660145921256,-0.626544466882136,-0.0641104840908036,0.696872904049466,0.292373040898758,7.23576225593521,-2.30757902103719,2.42739549858733,-0.0593674832760635,0.768770956732837,-3.80460584117396,0.207958103938577,-0.328491249963042,1.29552473085996,0.186221953258287,-0.13465859207524,0.0191916203104284,-0.0351662539029021,"4"
-3.37416632812408,0.110654262891192,2.84603074718278,-0.545198150415056,0.447515083333495,0.441468321556444,0.100690879935018,-2.26233184052956,0.933199398090126,-1.18201900253643,0.117376489781292,-0.0124495287613602,0.78020069517274,0.436039765529186,-0.155570655309141,-1.87266846446848,1.1318052220827,6.14214709354021,0.952143056278699,2.09230738437538,-2.97924031725311,-1.17619008658123,3.16178746581812,-0.248735148518907,-0.577135979599309,-0.669054738785031,0.0763730078333975,0.106233553913749,-0.0159130783802295,0.00868050434152736,"4"
-2.76630689288473,-1.38403026043103,0.142472732184591,0.788833219092894,0.254104266842189,0.396634962987146,-0.434584335993195,-1.12484543102296,-0.410518693769673,0.0618818958101378,0.0751977032724138,-0.00338434211355463,0.156680330170867,0.11946674685535,0.477801575193997,-0.553614401500029,0.427808555628936,-0.398461015686201,-0.0122563634605601,0.62462807251506,-0.730967673083545,-1.44957587777665,-0.259648426232432,0.0152632066848639,-0.662148885091686,-0.466981858740327,0.000323694085900543,-0.0177222673474793,-0.00330126073817094,-0.00310334869271115,"2"
-2.76630689288473,-1.38403026043103,0.142472732184591,0.788833219092894,0.254104266842189,0.396634962987146,-0.434584335993195,-1.12484543102296,-0.410518693769673,0.0618818958101378,0.0751977032724138,-0.00338434211355463,0.156680330170867,0.11946674685535,0.477801575193997,-0.553614401500029,0.427808555628936,-0.398461015686201,-0.0122563634605601,0.62462807251506,-0.730967673083545,-1.44957587777665,-0.259648426232432,0.0152632066848639,-0.662148885091686,-0.466981858740327,0.000323694085900543,-0.0177222673474793,-0.00330126073817094,-0.00310334869271115,"2"
-0.439409113988722,4.20880185913823,1.93502991012124,0.659256439697396,-0.682902318719988,-1.39685638641485,0.124568550889075,-1.10489817669634,0.159093549967777,0.187736319342656,-0.156588437683063,-0.0635678797685502,-0.2351980687799,-0.485476677653449,0.5179373167709,1.34222396741386,0.309558320099503,0.160785942338923,-1.52371907358873,-3.30761671719455,2.66111034276349,0.0619600256264799,0.190469063072172,0.546273575937804,1.24613916447342,0.662181210858513,-0.969014709187597,-0.0912448036811164,0.0304364609804294,-0.00795492467112545,"3"
-3.2634566548852,-0.435593397363096,-0.333025536358973,-0.0603617580143435,0.478967857105539,0.0660554974011352,-0.179206148100082,-1.34467572594061,-0.232631354931324,0.275101245655193,0.101199255696241,-0.0029110136042831,0.154074505968521,0.0819503741468406,0.542145878177732,-0.485487538065775,0.310512564517783,-0.617527266223917,-0.680428039209176,-0.1741935024363,-1.4877966086742,-1.84416507138036,-0.266234756801147,-0.849752369509824,0.112098673833782,0.923741754931031,-0.1315907497591,-0.464120264034253,0.00191322785505759,-0.00319736463782754,"2"
-0.533331771798234,5.07440518868341,3.0607945646602,0.239974993411621,-0.790166596869498,-2.45606245283029,-0.329372879512793,-1.06679811865833,0.320625672414723,-0.1508587625163,-0.214947126199342,-0.0487034795464404,-0.482885382485929,-0.750104808969009,0.567694594390892,2.79183389913211,-2.22174436281932,-0.815117867741142,-0.925419146119827,-0.997979637508275,2.21278902471543,-0.211426585213131,0.324394183718246,0.949098235912962,1.05580118628864,1.25341032138492,-1.04938949387706,-0.0756498823643264,0.0290708507170431,-0.014608313381296,"3"
-3.2634566548852,-0.435593397363096,-0.333025536358973,-0.0603617580143435,0.478967857105539,0.0660554974011352,-0.179206148100082,-1.34467572594061,-0.232631354931324,0.275101245655193,0.101199255696241,-0.0029110136042831,0.154074505968521,0.0819503741468406,0.542145878177732,-0.485487538065775,0.310512564517783,-0.617527266223917,-0.680428039209176,-0.1741935024363,-1.4877966086742,-1.84416507138036,-0.266234756801147,-0.849752369509824,0.112098673833782,0.923741754931031,-0.1315907497591,-0.464120264034253,0.00191322785505759,-0.00319736463782754,"2"
-2.76630689288473,-1.38403026043103,0.142472732184591,0.788833219092894,0.254104266842189,0.396634962987146,-0.434584335993195,-1.12484543102296,-0.410518693769673,0.0618818958101378,0.0751977032724138,-0.00338434211355463,0.156680330170867,0.11946674685535,0.477801575193997,-0.553614401500029,0.427808555628936,-0.398461015686201,-0.0122563634605601,0.62462807251506,-0.730967673083545,-1.44957587777665,-0.259648426232432,0.0152632066848639,-0.662148885091686,-0.466981858740327,0.000323694085900543,-0.0177222673474793,-0.00330126073817094,-0.00310334869271115,"2"
