"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"tradicional1",0.117794560734558,-0.110086242438393,0.059341883244145,-0.181144165430053,0.366513773884977,-0.159799866514094,0.172485424291815,0.0968306245066044,-0.154213599752856,-0.0148413506531348,-0.0232326734097928,-0.00808803343095657,-0.097930376268843,-0.141650044655401,-0.0407289112887796,0.047487254970163,0.235096280760513,0.0701132469608086,-0.633872702588195,0.411673633087864,0.209360427685392,-0.0413930730908888,-0.00691271309479344,0.00367485024464755,0.0479792411865361,-0.0291490915887946,0.015188648074953,-0.00733989128496392,-0.000224057010147434,-0.000365165286467854
"gradonac1",0.357674803239663,-0.113358362967339,0.0417269360867697,-0.180102275064392,0.139872417796587,-0.0325521821662145,0.00854737693217819,-0.0337311310889803,-0.06107544994687,0.0478776113324279,-0.0139881540617837,-0.00247504875933542,-0.0379438841251504,-0.0550639236297537,0.0103365571325827,0.0486435084326226,-0.0316702466652301,0.047343240965055,0.0356270992640672,-0.164848080307569,-0.0865017978610747,0.143888078663072,-0.000573028811496301,-0.171929358734965,-0.731904917677057,0.264335134171186,-0.308012854185589,0.0110182480504248,0.00057344763702753,-0.00709401079631764
"gradonac99",-0.166998278444409,-0.0748024626469069,0.151882778255618,0.226446020086456,0.111367625605256,0.0280220007409054,-0.195184331928461,-0.505799351015735,-0.199050937104462,0.0236877397929461,0.0134022886275929,-0.00496754558490073,0.00911519386524321,-0.0146813559342328,0.179348664638364,-0.202218432384571,0.227587987997404,-0.0913254830853162,0.00298755717219436,0.135355639559767,-0.15652044711932,-0.489133567495001,-0.0938761512288252,0.20704105814968,-0.151719139325515,0.230727459906267,-0.0122781097359803,0.0317517349936252,0.000158902910456078,-6.33444762748413e-05
"ideologia2",0.101765606234149,-0.079741381242488,0.0875384910306255,-0.275061341786969,-0.287543422384701,-0.17309740147202,-0.590265676034123,0.19546125252184,-0.144389635384112,0.284333624136494,-0.0094279155444612,0.00522090954691931,-0.0298268449710024,0.0355565523743618,0.162362626701884,0.0504403756590057,0.0996518023970481,0.132733494616184,-0.116416855242962,-0.0640427129090982,-0.0564109288884883,-0.0261126996982472,0.00757846424783143,-0.0154561530378858,-0.0618844563086011,0.0217513309236225,0.461897671012075,-0.0273567699648224,-0.00510427712661852,0.00638300325422876
"ideologia3",0.352629303324053,0.0559365940297814,-0.00835823521966878,0.0491974339531675,0.276105357588713,0.071833047054855,0.313712131354651,-0.200765875341808,0.08320184005311,-0.037844135799224,-0.00303496458458464,-0.000153802516148114,-0.00366995194669442,-0.0130891218217641,-0.0629362462744833,-0.0185419812007283,-0.108031171393823,-0.0796710833354584,0.116670567112241,-0.0767772972802614,-0.0593384215998881,-0.00660529886578225,-0.00406615903590679,0.0197056744426434,-0.0719745279056757,0.0653510710039217,0.764437803130915,-0.0388966558129353,-0.00883049882899863,0.0127204018103333
"ideologia4",-0.42633307136032,-0.125135349329018,-0.0492354864050717,-0.0161937353597922,-0.0309890159391576,0.0953839795448785,0.0734164794985671,0.0280231572903274,0.0365917187521585,-0.00328483262771654,-0.00819769510118208,0.00533411749808454,0.0126433145450308,-0.0107076199612488,-0.0354576917565771,0.0353651478973401,-0.0652570027403393,0.0271662959672129,-0.0640797243289994,0.0443131732086211,0.0855490404850712,0.0555185497619339,0.0104763539368509,-0.0732043262744483,-0.235929468818202,0.0688405342601281,0.150242901038997,-0.028460373232448,-0.427029340477086,0.697394220733388
"grupo_representativo_12",-0.0337809274485096,0.11390718391449,0.00184749422304608,0.00600269627648925,-0.377340390965184,-0.291174884800389,0.408647330954194,0.0775321818939358,-0.305099502932545,-0.0102742860055033,-0.00662431318357096,-0.00235513233732508,-0.00757417675526102,-0.00646104387208295,-0.0117846546843674,0.151861781132257,0.495249382121474,-0.112988555409834,0.278953948867444,0.197200963301507,-0.146695543220669,0.106995819617836,-0.0359026098511334,-0.0129436193257181,-0.0781649771837404,0.0716515293306027,0.0592195230517301,-0.2126136942088,0.00122956564727426,0.00292239497810575
"grupo_representativo_13",-0.00651460819348803,0.150174107222197,0.0760107422992732,-0.0693652849863154,0.0586437525845025,-0.176086049213674,0.0177299050616778,0.0375277355456023,0.39226492626433,0.507548394548171,0.00329597156981438,0.0129653750885533,0.22235900159921,0.285453676930239,-0.210523354188329,-0.406226467974746,0.10304610002717,-0.242857356267904,0.0448047620594663,0.18833756347978,0.168372325034672,0.00760244838257217,0.0948899870934535,0.0556758407777165,-0.124964839205991,-0.00295484304838043,-0.0473664261471945,-0.115183168555541,-0.000941588149085914,-0.000614767583690514
"grupo_representativo_14",0.0033520004670015,0.0959089108096953,0.0449664294572481,0.0681490412724125,-0.0607875702145924,-0.240832309287324,-0.21633069631893,0.234944754516875,0.116253322643753,-0.684913111254483,0.0522765865387853,0.0139142350470562,-0.0746389164858426,-0.048530330481772,-0.160589949580009,-0.44265264906262,0.0498642935719804,-0.183433542940882,-0.0909205286195214,-0.0565692059298654,-0.00659732756505719,-0.0351731606480515,-0.0149396686178136,-0.0495644128086334,-0.146778009300586,0.0334668235076915,0.0829991011110199,-0.155266106054797,-0.0020612643127355,0.00090355216016457
"grupo_representativo_15",-0.0386182176101805,0.00956053887011462,0.00747466035386278,0.10926490479286,0.0031207755589593,0.0122019400659576,-0.106957492251078,-0.02992143581223,-0.235806270632019,0.254073332005103,-0.0741011991539076,0.00945022488958661,-0.427188078522601,-0.281337990436174,-0.735951726237717,-0.078442032732824,-0.0830852810284146,0.0790622334819416,0.0815356336943523,-0.0597317432122023,-0.0453639079849896,-0.0572044391966756,0.00247736885350292,0.00983872558261303,0.0449541098539201,0.00938993932931414,-0.0147070369829145,-0.0874258710965389,-3.33244899558932e-05,0.000123314779785109
"grupo_representativo_16",-0.0203236976405144,0.0221148354962769,-0.0219141127458776,0.0214286665192276,-0.04631947304352,0.0106291097913245,0.119273563360444,0.109117109558,0.302788954258666,0.183011122378418,-0.150130487809187,-0.0753956393831436,-0.492284347070491,-0.489421078049328,0.479282678487986,-0.283752478201342,0.00142438503272833,0.0184066776052023,0.113212479644829,0.0714979155658449,0.00101742017574283,0.0410145851663346,-0.000244133068425198,0.0234711012138633,0.0058232022557817,0.00396662365279575,-0.0120763530646559,-0.0597126125079284,-0.00020027660104925,-3.01810278645664e-05
"grupo_representativo_17",-0.108139768013052,0.223554725666049,-0.435890187658594,-0.283845392561202,0.155533628785594,0.0266123193727009,-0.100790256365684,-0.0805483197139962,-0.0631024100305387,-0.0598729461819373,-0.0096580287203731,-0.0032839357830836,-0.0129650699929475,-0.00909445196565147,0.00686119665130498,0.00308637996380759,0.00427865087589241,0.0313267615224525,-0.0244361436459784,-0.0179597029008319,-0.146894257020964,0.233814368862422,0.00218513409188773,0.691361789645299,-0.131623871873229,-0.0978681387618215,-0.0216806876650053,-0.183240746666879,0.0324051442314677,0.00917429022007086
"grupo_representativo_198",0.156445821950525,0.355163822673281,-0.032885629485734,0.415907017398095,-0.151075297974906,0.25539292524638,-0.0921535299990256,-0.0360102187842778,-0.00250870473962856,0.0561885801289729,-0.00645921788505596,-0.00156638468985555,0.0523640550187398,0.0220230943668791,0.0924637024963593,0.142360344502009,-0.0752277902527873,0.170230902909424,-0.250807750246158,0.0767345341218868,0.16725873829926,-0.038007388824669,0.00946422675457802,-0.0889001451627952,-0.139055734207316,-0.0200901632132542,-0.0263266904238121,-0.61720907514743,-0.00290716309401687,-0.00150299991521697
"grupo_representativo_199",-0.0350954230859933,-0.517437079359246,0.222516104216973,-0.240034421216513,0.198162219502729,-0.0635247210969583,0.0181557625312569,-0.0355831555651921,-0.00115929487548914,-0.0399625254830095,0.00811837538236241,-0.00027528067972342,0.0346143749222827,0.0274363086536277,0.0492960655366266,0.0215646333342746,-0.0825405669533984,-0.0296235403176107,0.208041832522358,-0.118819717980246,4.72678982861064e-05,-0.0677921100134837,0.00952561197327546,0.0265581934976234,0.181313694992872,-0.0899714835590476,-0.0763144032962189,-0.674692556003417,-0.00137520908651214,0.000441522142467983
"grupo_representativo_22",-0.0278081249998858,0.0818756796924777,-0.165808560911367,-0.123757504974119,0.0774383906047468,0.000851858461535975,-0.0882052202217216,-0.0452614188486769,-0.0601959626560466,-0.00557846946697488,0.59408015261382,-0.615976054192829,0.0499217626095145,-0.163952354051818,-0.0119336646783221,-0.00377487317993593,0.0278990403578197,0.0641258350316644,0.217051379958801,0.0926856943290909,0.278630929365188,-0.0728685043067633,0.00162544514073519,-0.137703599347085,-0.0119523053214394,0.0140420218377161,0.0233528563949863,-0.00812762764016104,0.06902928008807,0.0113149853198388
"grupo_representativo_23",-0.00733055252386792,0.0205242963595093,-0.0187125221202798,-0.00623304950451928,-0.118794712510171,-0.13975814280923,0.275495902316804,0.0756768048136752,-0.561211654077604,0.10334188495882,0.0349298760481493,0.0107904720442113,0.0940271558335466,0.117543563817137,0.177735035547453,-0.493442914611814,-0.469496954079377,0.138012391151464,-0.0710436962346168,-0.0563985725870494,0.0951709861705954,-0.0130849002433378,0.00736527146060576,0.0367849337636218,-0.00231972392458395,-0.0146319979178679,-0.0023092677852965,0.0082741515889556,0.0229422089085399,0.000357393774394508
"grupo_representativo_24",-0.0028417928964951,0.0276751627686036,-0.0498012778829136,-0.036340767873287,0.0516885788968035,0.000350069081725383,0.0135540233180699,-0.0619915912797177,-0.000257553068952614,-0.0668046963959612,0.0626063692565688,-0.0638563601709732,-0.675902358887152,0.701336945547516,0.0832160302269274,0.0425334475894576,0.0218286285840377,0.0414907354300579,0.0400877698629495,0.0393877967922615,0.0958325520070669,-0.0225330607276371,0.0010974203241292,-0.0553844998697416,-0.00643413238635083,0.0051603110735008,-0.0131917344812629,0.000338001055718322,0.00869481930230267,0.0195096791974474
