"cluster","part_alcaldia","part_asamblea","part_camara","part_concejo","part_gobernacion","part_presidencia","part_senado"
"1",0.376344086021505,0.505376344086021,0.559139784946237,0.483870967741935,0.32258064516129,0.677419354838709,0.505376344086022
"2",0.380434782608693,0.130434782608697,0.261857707509883,0.332509881422925,0.04100790513834,0,0.0602766798418965
"3",0.735888140859659,0.0233039875712063,0.0393578456758151,0.15328845157949,0.0445365095805282,0,0.00621439668565516
"4",0.564383561643835,0.080365296803653,0.105022831050229,0.319634703196347,0.0684931506849314,0,0.0420091324200915
