"k","WSS","Silhouette","Calinski_Harabasz"
2,49840.029350441,0.542064481235098,452.370375823178
3,45655.8064516354,0.528001165996816,345.412018395831
4,42373.6626917143,0.398969476858231,303.532596263205
5,40318.2228636783,0.372604192756976,266.545855631452
6,38102.308528407,0.288532112624329,250.52879374361
7,35534.1285439968,0.354905757060064,249.632630507453
8,34041.8734318366,0.384556991523729,236.691529979783
9,31452.0984860204,0.283513907859866,246.141559824731
10,29850.6777154503,0.384065081043026,243.208832543343
