nombre,tipo_eleccion,votos_totales,n_registros
ALTERNATIVA LIBERAL PARA EL CAMBIO SOCIAL,Alcaldía Municipal,2276,1
ALTERNATIVA SOCIAL,Concejo Municipal,525,12
ALTERNATIVOS,Gobernacion,37328,14
ALTERNATIVOS,Concejo Municipal,25679,37
AMANECER DORADO,Concejo Municipal,1209,20
AMIGOS DE COGUA,Alcaldía Municipal,4682,1
AMIGOS DE LA U,Concejo Municipal,488,10
AMIGOS DE NEMOCON,Concejo Municipal,2227,20
AMIGOS POR BOYACA,Gobernaci??n,11884,123
AMIGOS POR CAÑASGORDAS,Alcaldía Municipal,4190,1
AMO EL RETIRO,Concejo Municipal,381,12
ANAPOIMA ATRACTIVA,Alcaldía Municipal,246,1
ANAPOIMA DE CARA AL FUTURO,Alcaldía Municipal,1796,1
ANAPOIMA DE CARA AL FUTURO,Concejo Municipal,1401,12
ANDEMVI,C??mara de Representantes,87,28
ANOLAIMA,Alcaldía Municipal,2247,1
ANUCOL,C??mara de Representantes,4406,3847
APIA SOMOS TODOS,Alcaldía Municipal,2949,1
ARBOLEDA DE TODOS Y PARA TODOS,Alcaldía Municipal,1188,1
ARBOLEDAS RENACE,Alcaldía Municipal,2489,1
ARMENIA AVANZA,Alcaldía Municipal,41338,1
ARMENIA AVANZA,Concejo Municipal,6939,16
ARMENIA PARA VIVIR Y CRECER,Alcaldía Municipal,8051,1
ARRIBA BUCARAMANGA,Alcaldía Municipal,52487,1
ASI DARA UN CAMBIO RADICAL,Alcaldía Municipal,724,1
ASI GANAMOS TODOS,Alcaldía Municipal,1082,1
ASOC. AGROPECUARIA MUJERES VÍCTIMAS DE JERICÓ - ASOMUVIJ,C??mara de Representantes,7469,15
ASOC. CAMPESINA PARA EL DESARROLLO AGROPECUARIO DE SIMITÍ,C??mara de Representantes,2342,21
ASOC. DESPLAZADOS POR VIOLENCIA RADICADOS EN AGUSTÍN CODAZZI,C??mara de Representantes,474,35
ASOC. RETORNO RENACIENDO EL CAMPO SANTA RITA Y BALSILLAS DE ATACO,C??mara de Representantes,2149,12
ASOC. VÍCTIMAS DESPLAZADOS CONFLICTO ARMADO DE SANTA ROSA (ADESAN),C??mara de Representantes,1966,21
ASOCAMPROARIARI,C??mara de Representantes,3236,36
ASOCBAR,C??mara de Representantes,3692,1949
ASOCCOR,C??mara de Representantes,1234,28
ASOCIACION AFROCOLOMBIANA DE ASENTAMIENTO ANCESTRAL SAN PEDRO - AFROSANPEDRO,C??mara de Representantes,2428,2020
ASOCIACION AFROCOLOMBIANA INTERCAMBIO DE EXPERIENCIAS - AIE,C??mara de Representantes,2792,1433
ASOCIACION AFRODESCENDIENTE REVIVIR FERMIN SALAS,C??mara de Representantes,13061,587
ASOCIACION AFROMONTELIBANENSE ANASTASIO SIERRA CIMARRON,C??mara de Representantes,1931,448
ASOCIACION CAMPESINA INTEGRAL DEL ATRATO - ACIA,C??mara de Representantes,3185,887
ASOCIACION CENTRO DE AUTORECONOCIMIENTO AFROCOLOMBIANO - CENAFRO,C??mara de Representantes,1752,2068
ASOCIACION CIVICA FUERZAS NEGRAS,C??mara de Representantes,1413,378
ASOCIACION COLECTIVO AFRODESCENDIENTES PRO DERECHOS HUMANOS - CADHEUBEV BENKOS VIVE,C??mara de Representantes,2285,370
ASOCIACION COLOMBIA NEGRA HUELLAS DE AFRICANIA EN PAZ,C??mara de Representantes,2015,1957
ASOCIACION COLOMBIANA DE ENTRENADORES DEPORTIVOS Y PROFESIONALES - ASODEPORTES,C??mara de Representantes,6584,903
ASOCIACION CULTURAL JUVENTUD UNIDA - ASOCUJU,C??mara de Representantes,8018,4699
ASOCIACION DAMOS LA MANO ASODM,C??mara de Representantes,3241,466
"ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA, DEPORTE, EDUCACION Y SALUD - PARTIDO AFROVIDES",Concejo Municipal,304292,2967
"ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA, DEPORTE, EDUCACION Y SALUD - PARTIDO AFROVIDES",Alcaldía Municipal,204676,120
"ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA, DEPORTE, EDUCACION Y SALUD - PARTIDO AFROVIDES",Gobernaci??n,196947,85
"ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA, DEPORTE, EDUCACION Y SALUD - PARTIDO AFROVIDES",Asamblea Departamental,58652,850
"ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA, DEPORTE, EDUCACION Y SALUD - PARTIDO AFROVIDES",C??mara de Representantes,56215,2609
ASOCIACION DE AFROCOLOMBIANOS SIN ANIMO DE LUCRO DE SAN CRISTOBAL SUR - ASAFROSCOL 4,C??mara de Representantes,1069,1462
ASOCIACION DE AFRODESCENDIENTES DEL MAGDALENA MEDIO - AFRODMAN,C??mara de Representantes,1442,1260
ASOCIACION DE AFRODESCENDIENTES DEL MUNICIPIO DE NECOCLI - AFRONEC,C??mara de Representantes,8953,497
ASOCIACION DE AFRODESCENDIENTES DEL MUNICIPIO DE NECOCLI - AFRONEC,Concejo Municipal,0,79
ASOCIACION DE AFROS DE MUTATA - AFROMUTATA,C??mara de Representantes,1087,454
ASOCIACION DE AUTORIDADES TRADICIONALES INDIGENAS - OPIC,Senado,3163,1470
ASOCIACION DE AUTORIDADES TRADICIONALES INDIGENAS - OPIC,C??mara de Representantes,2870,742
ASOCIACION DE AUTORIDADES TRADICIONALES WAYUU,Senado,4654,2046
ASOCIACION DE AUTORIDADES TRADICIONALES Y CABILDOS INDIGENAS DE COLOMBIA,C??mara de Representantes,2478,713
ASOCIACION DE AUTORIDADES TRADICIONALES Y CABILDOS INDIGENAS DE COLOMBIA,Senado,2067,878
ASOCIACION DE CABILDOS Y AUTORIDADES ZENUES - UAIZACOR,C??mara de Representantes,4156,1643
