nombre,tipo_eleccion,votos_totales,n_registros
"CON. COMUNIT. AFROCOL. MARCELINO OCHOA ALVAREZ ""CATELO""",C??mara de Representantes,8740,39
CON. COMUNIT. CMUDS. NEGRAS LA JAGUA DE IBIRICO,C??mara de Representantes,255,31
CONFIAZA CANDELARIA,Concejo Municipal,1189,15
CONSEJO COMUNIT. CMUDS. NEGRAS GUACOCHE - LOS CARDONALES,C??mara de Representantes,1342,35
CONSEJO COMUNITARIO AFROZABALETAS,C??mara de Representantes,20189,960
CONSEJO COMUNITARIO AGRICULTORES DEL PATÍA GRANDE,C??mara de Representantes,485,32
CONSEJO COMUNITARIO ALTO PARAISO,C??mara de Representantes,2296,636
CONSEJO COMUNITARIO ANCESTRAL DE COMUNIDADES NEGRAS PLAYA RENACIENTE,C??mara de Representantes,32243,1777
"CONSEJO COMUNITARIO ARCILLA, CARDON Y TUNA",C??mara de Representantes,2113,515
CONSEJO COMUNITARIO BAJO MIRA Y FRONTERA,C??mara de Representantes,7136,32
CONSEJO COMUNITARIO BOCAS DE TAPARAL,C??mara de Representantes,5270,1309
CONSEJO COMUNITARIO DE ALEJANDRO DURAN DIAZ,C??mara de Representantes,8604,3331
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE GUAYABAL,C??mara de Representantes,11081,1654
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE SANTO DOMINGO,C??mara de Representantes,1505,1297
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS OBATALA,C??mara de Representantes,1766,2609
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS PALENQUE VEREDA LAS TRESCIENTAS Y MUNICIPIO GALAPA,C??mara de Representantes,79596,4183
CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS PALENQUE VEREDA LAS TRESCIENTAS Y MUNICIPIO GALAPA,Concejo Municipal,18949,149
"CONSEJO COMUNITARIO DE CORDOBA Y SAN CIPRIANO DEL MUNICIPIO DE BUENAVENTURA, DEPARTAMENTO DEL VALLE DEL CAUCA",C??mara de Representantes,690,294
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE AGUA CLARA,C??mara de Representantes,3476,12
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LA CALLE LARGA RIO DAGUA,C??mara de Representantes,3539,1395
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LA PLATA BAHIA MALAGA,C??mara de Representantes,17477,1610
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE TIERRA BAJA MI TERRITORIO ANCESTRAL,C??mara de Representantes,3325,2113
CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE VILLA GLORIA,C??mara de Representantes,4074,1050
CONSEJO COMUNITARIO DE LA COSTA PACIFICA - CONCOSTA,C??mara de Representantes,12605,1091
CONSEJO COMUNITARIO DE LA INSPECCION DE POLICIA DE PUERTO LIMON - MOCOA PUTUMAYO,C??mara de Representantes,2366,372
CONSEJO COMUNITARIO DE LA PLATA BAHÍA MALAGA,C??mara de Representantes,3201,12
CONSEJO COMUNITARIO DE LAS BARAS,C??mara de Representantes,1989,1616
CONSEJO COMUNITARIO DE LOS CORREGIMIENTOS DE SAN ANTONIO Y EL CASTILLO MUNICIPIO DE EL CERRITO,C??mara de Representantes,6976,2506
CONSEJO COMUNITARIO DE LOS RÍOS LA LARGA Y TUMARADÓ,C??mara de Representantes,2578,30
CONSEJO COMUNITARIO DE PORCE MEDIO,C??mara de Representantes,942,35
CONSEJO COMUNITARIO DEL GUABAL,C??mara de Representantes,1624,764
CONSEJO COMUNITARIO DEL RIO GUAJUI,C??mara de Representantes,3963,557
CONSEJO COMUNITARIO DEL RIO YURUMANGUI,C??mara de Representantes,17078,1717
CONSEJO COMUNITARIO IMPILBI DEL CARMEN,C??mara de Representantes,2711,2597
CONSEJO COMUNITARIO INTEGRAL DE LLORO,C??mara de Representantes,4263,1001
CONSEJO COMUNITARIO LA MUMANCIA,C??mara de Representantes,25428,3781
CONSEJO COMUNITARIO LA TOMA,C??mara de Representantes,25602,1489
CONSEJO COMUNITARIO LOS ANDES,C??mara de Representantes,10472,1551
CONSEJO COMUNITARIO MA KANKAMANA DE SAN BASILIO DE PALENQUE,C??mara de Representantes,4179,2218
CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,C??mara de Representantes,25322,1740
CONSEJO COMUNITARIO MAYOR DE CASIMIRO,C??mara de Representantes,7834,1312
CONSEJO COMUNITARIO MAYOR DE CERTEGUI,C??mara de Representantes,18994,2836
CONSEJO COMUNITARIO MAYOR DE NOVITA “COCOMAN”,C??mara de Representantes,13164,42
CONSEJO COMUNITARIO PANAMÁ DE ARAUCA,C??mara de Representantes,1295,12
CONSEJO COMUNITARIO PEDEGUITA Y MANCILLA,C??mara de Representantes,274,39
CONSEJO COMUNITARIO PUERTO GIRON,C??mara de Representantes,2147,569
CONSEJO COMUNITARIO RENACER NEGRO,C??mara de Representantes,6414,1502
CONSEJO COMUNITARIO RESCATE LAS VARAS,C??mara de Representantes,1687,496
CONSEJO COMUNITARIO RÍO CURBARADÓ,C??mara de Representantes,2681,689
CONSEJO COMUNITARIO TABLON SALADO,C??mara de Representantes,2225,1410
CONSEJO COMUNITARIO UNION PATIA VIEJO,C??mara de Representantes,4015,876
CONSEJO COMUNITARIO VERDE MANDELA,C??mara de Representantes,12064,33
CONSEJO COMUNITARIO VEREDAS UNIDAS UN BIEN COMUN,C??mara de Representantes,7257,2139
CONSEJO MAYOR CONDOTO IRO,C??mara de Representantes,1923,509
CONSTRUYAMOS CIUDAD,Concejo Municipal,8990,20
CONSTRUYENDO CONFIANZA,Gobernaci??n,40814,30
CONSTRUYENDO CONFIANZA,Alcaldia,4304,1
CONSTRUYENDO FUTURO,Alcaldía Municipal,6488,2
CONSTRUYENDO FUTURO,Alcaldia,1748,1
CONSTRUYENDO FUTURO,Concejo Municipal,179,7
CONVENIO CIUDADANO,Alcaldía Municipal,1268,1
CONVERGENCIA CIVICA EL META,Camara de Representantes,11284,56
CONVERGENCIA CIVICA MULTIPARTIDO,Senado,11365,2114
CONVERGENCIA CIVICA MULTIPARTIDO,Camara de Representantes,4915,124
CONVERGENCIA DEMOCRATICA,Senado,21235,2114
CONVERGENCIA POPULAR CALDENSE,Camara de Representantes,18933,50
CONVERGENCIA SOCIAL PRODUCTIVA Y POLITICA POR INZA,Alcaldía Municipal,3075,1
CONVIVENCIA PACIFICA FUNDACION,C??mara de Representantes,4947,3494
COOP. SOCIAL MULTIACTIVA TRABAJANDO JUNTOS - COOSOCIALTJ,C??mara de Representantes,270,20
COPACABANA 2020 POR UN MEJOR MUNICIPIO,Concejo Municipal,1989,16
CORPORACION ABOSAO - CORABOSAO,C??mara de Representantes,1494,416
CORPORACION AFRO CARTAGENA - AFROCAR,C??mara de Representantes,1767,423
CORPORACION AFROCOLOMBIANA MALCOLM...X,C??mara de Representantes,2534,758
CORPORACION AFROETNICOS,C??mara de Representantes,2414,1374
CORPORACION CENTRO CIVICO SOCIAL - LA CHINCA,Concejo Municipal,581,14
CORPORACION CIMARRON,C??mara de Representantes,3646,450
CORPORACION COMPROMETIDOS CON MARIQUITA,Alcaldía Municipal,4401,1
CORPORACION DE EDUCADORES DEL LITORAL PACIFICO - CORELIPA,C??mara de Representantes,1186,419
CORPORACION DE LIDERAZGO Y DESARROLLO EMPRESARIAL AFROCOLOMBIANO - COLDEMAFRO,C??mara de Representantes,25091,677
CORPORACION INDIGENA YANACONA,Senado,3246,894
CORPORACION KOFI ANNAN,C??mara de Representantes,1594,527
CORPORACION NELSON MANDELA - CORMANDELA,C??mara de Representantes,2754,1149
CORPORACION PARA EL DESARROLLO Y CAPACITACION DE BUENAVENTURA GERARDO VALENCIA CANO - CODECAP G.V.C.,C??mara de Representantes,2665,446
CORPORACION PODER CIUDADANO,C??mara de Representantes,20958,3729
CORPORACION PRIMERO QUIBDO,Alcaldía Municipal,7980,1
CORPORACION SOCIAL E INTEGRAL DEL PACIFICO - CORPOSINPAC,C??mara de Representantes,11450,2758
CORPORACION UNIDOS POR LA CULTURA AFRO - CUCAF,C??mara de Representantes,4856,1635
CORPORACION VIDES Y SUS NICHES,C??mara de Representantes,809,498
CORPORACIÓN CONSTRUCTORES DE PAZ Y DESARROLLO SOSTENIBLE,C??mara de Representantes,854,26
CORPORACIÓN CORAZONES VERDES,C??mara de Representantes,195,33
"CORPORACIÓN DE DESPLAZADOS MI CONSUELO CAMPESINO ""MICONCAMP""",C??mara de Representantes,2041,36
CORPORACIÓN FELICIDAD COMPARTIDA,C??mara de Representantes,1585,22
CORPORACIÓN NARRAR PARA VIVIR,C??mara de Representantes,21018,42
CORPORACIÓN PARA EL DESARROLLO COMUNITARIO RINCÓN DEL MAR,C??mara de Representantes,733,43
CORPORACIÓN REDESC,C??mara de Representantes,3611,23
CORPORACIÓN SOCIAL Y DEPORTIVA COMUNIDADES NEGRAS AFRODECENDIENTES DE TURBO HARAMBE,C??mara de Representantes,251,23
CORRIENTE DE RENOVACION,Camara de Representantes,29265,176
CORRIENTE DE RENOVACION,Concejo Municipal,19843,138
CORRIENTE DE RENOVACION,Senado,13255,2156
CORRIENTE DE RENOVACION,Asamblea Departamental,1233,102
COTA TIERRA DE PROGRESO,Concejo Municipal,1707,25
CREA-NO A LA GUERRA,Presidencia Primera Vuelta,2714,1125
CREAR CIUDAD,Concejo Municipal,4003,6
"CRECE. COPACABANA REFLEXIONA, CREE Y ELIGE",Alcaldía Municipal,4470,1
CRECIENDO JUNTO AL RÍO,C??mara de Representantes,402,18
CREDHOS,C??mara de Representantes,332,20
CREEMOS,Alcaldia,812913,71
CREEMOS,Concejo Municipal,487266,1865
CREEMOS,Asamblea Departamental,357662,3233
CREEMOS,Alcaldía Municipal,246221,1
CREEMOS,Gobernacion,82318,172
CREEMOS CON ARMITAGE,Alcaldía Municipal,265230,1
CUENCA DEL RIO ISCUANDE,C??mara de Representantes,1667,2248
CUENTE CONMIGO,Concejo Municipal,12573,18
CUENTE CONMIGO,Alcaldia,2109,1
CUNDINAMARCA MERECE MAS,Gobernaci??n,251139,116
CUNDINAMARCA MERECE MAS,Asamblea Departamental,42057,1856
CUNDINAMARCA SIGLO XXI CIVICO,Gobernaci??n,42063,116
DE CAJICA PARA CAJICA,Alcaldía Municipal,983,1
DE CORAZON POR APARTADO,Concejo Municipal,3241,18
DE CORAZON POR PEREIRA CON JUSTICIA SOCIAL,Concejo Municipal,22141,40
DE LA MANO CON TÚQUERRES,Alcaldía Municipal,7200,1
DE LA MANO DEL PUEBLO,Gobernaci??n,52865,15
DEL PUEBLO PARA EL PUEBLO,Alcaldía Municipal,595,1
DEMOCRATICO DE INTEGRACION POR LA VIDA,Concejo Municipal,1522,18
DESPERTAR,C??mara de Representantes,1652,961
DESPERTAR AFROCOLOMBIANAS,C??mara de Representantes,4371,5458
DESPIERTA VALLE,Gobernaci??n,357554,42
DIFERENCIA,Alcaldía Municipal,314,1
DIGNIDAD POR MOSQUERA,Concejo Municipal,760,13
DIGNIDAD SANTANDEREANA,Gobernaci??n,231254,87
DIGNIDAD SANTANDEREANA,Gobernacion,181937,87
DIGNIDADES AGROPECUARIAS INDIGENAS,Senado,1881,837
DIOS Y PUEBLO,Alcaldía Municipal,609,1
DOSQUEBRADAS DIGNA,Alcaldía Municipal,33999,1
DOSQUEBRADAS MEJOR,Concejo Municipal,5734,18
DOSQUEBRADAS SOCIAL,Concejo Municipal,6746,18
E.A.T. BOTICA COMUNITARIA DEL VALLE DEL CAUCA,C??mara de Representantes,1455,886
EDUCACION PARA TODOS,Alcaldía Municipal,20785,1
"EDUCACION, TRABAJO Y CAMBIO SOCIAL",Concejo Municipal,54934,474
"EDUCACION, TRABAJO Y CAMBIO SOCIAL",Senado,44347,2156
"EDUCACION, TRABAJO Y CAMBIO SOCIAL",Camara de Representantes,16240,84
"EDUCACION, TRABAJO Y CAMBIO SOCIAL",Gobernaci??n,7551,10
EL ALCALDE PARA LA GENTE,Alcaldía Municipal,3831,1
EL CAMBIO ES AHORA,Alcaldia,3177,1
EL CAMBIO ES AHORA,Concejo Municipal,2144,18
EL CAMBIO PARA POPAYAN,Alcaldía Municipal,70284,1
EL CAMBIO QUE TODOS MERECEMOS,Alcaldía Municipal,3048,1
EL COMPROMISO SIGUE SIENDO NUESTRO PUEBLO,Alcaldía Municipal,2786,1
EL COMPROMISO SIGUE SIENDO NUESTRO PUEBLO,Concejo Municipal,2451,12
EL DESARROLLO ES CON USTED,Alcaldía Municipal,11544,1
EL GOBIERNO DEL PUEBLO,Alcaldía Municipal,1095,1
EL NORTE QUE QUEREMOS,Gobernaci??n,34499,40
EL ROSAL PRODUCTIVO Y PARTICIPATIVO,Alcaldía Municipal,457,1
EL SENTIR DE UN PUEBLO,Alcaldía Municipal,7945,1
ELIJA BIEN,Alcaldía Municipal,46903,2
ELIZABETH CRUZ AMAYA ALCALDESA,Alcaldía Municipal,622,1
EMBERA CHAMI DEL RESGUARDO INDIGENA DACHI AGORE DRUA,C??mara de Representantes,1428,714
EMPRESARIOS Y TRABAJADORES POR COLOMBIA,Senado,7920,2114
EN BARICHARA EL PROGRESO CONTINUA,Alcaldía Municipal,2812,1
EN BOJACA YO CREO,Alcaldía Municipal,1750,1
EN CIUDAD BOLIVAR TODOS CONTAMOS,Alcaldía Municipal,1175,1
EN EQUIPO POR SUBACHOQUE,Alcaldía Municipal,3002,1
EN LA VIA CORRECTA,Alcaldía Municipal,2952,1
EN ÚTICA RENACE LA ESPERANZA,Alcaldía Municipal,195,1
ENVIGADO SOMOS TODOS,Concejo Municipal,16138,34
EQUIPO CONFIANZA,Concejo Municipal,3661,16
EQUIPO DE RENOVACIÓN WILSON GARCÍA ALCALDE,Alcaldía Municipal,18244,1
EQUIPO LIBRE ADN,Camara de Representantes,2511,74
ESE ES CONVERGENCIA,Alcaldía Municipal,9461,1
EXPERIENCIA CON COMPROMISO SOCIAL,Alcaldía Municipal,3347,1
FERNANDO RIOS HIDALGO,C??mara de Representantes,40049,2614
FIRME ARIGUANI PRIMERO,Alcaldía Municipal,4772,1
FIRME BARRANQUILLA SI SE PUEDE,Alcaldía Municipal,86790,1
FIRME CON ACACIAS,Alcaldía Municipal,4413,1
FIRME CON BARRANQUILLA,Alcaldía Municipal,113263,1
FIRME POR AGUACHICA,Concejo Municipal,1441,16
FIRME POR AGUACHICA,Alcaldía Municipal,727,1
FIRME POR IBAGUE,Alcaldía Municipal,51619,1
FIRME POR IBAGUE,Concejo Municipal,26922,39
FIRME POR IBAGUE,Alcaldia,11051,1
FIRMES POR EL RESCATE DE MEDELLIN,Alcaldía Municipal,221874,1
FIRMES POR EL RESCATE DE MEDELLIN,Concejo Municipal,31918,21
FIRMES POR LO NUESTRO,Alcaldía Municipal,599,1
FORTALEZA ZAPATOCA,Alcaldía Municipal,1280,1
FORTALEZA ZAPATOCA,Concejo Municipal,640,10
FRENTE DEMOCRATICO,Asamblea Departamental,248593,4532
FRENTE DEMOCRATICO,Concejo Municipal,231518,2904
FRENTE DEMOCRATICO,Senado,93042,1152
FRENTE DEMOCRATICO,Camara de Representantes,84306,1286
FRENTE DEMOCRATICO,Presidencia,82858,1059
FRENTE DEMOCRATICO,Gobernaci??n,523,7
FRENTE INDEPENDIENTE CIVICO POPULAR - FICIP,C??mara de Representantes,60539,324
FRENTE INDEPENDIENTE CIVICO POPULAR - FICIP,Camara de Representantes,10923,2
FRENTE MORAL,Presidencia Primera Vuelta,9142,1125
FRENTE POR LA UNIDAD DEL PUEBLO - FUP,Asamblea Departamental,51545,1658
FRENTE POR LA UNIDAD DEL PUEBLO - FUP,Camara de Representantes,49995,1770
FRENTE POR LA UNIDAD DEL PUEBLO - FUP,Concejo Municipal,49340,946
FRENTE POR LA UNIDAD DEL PUEBLO - FUP,Senado,49058,1810
FRENTE UNIDO NACIONAL POPULAR,Asamblea Departamental,11458,52
FRENTE UNIDO NACIONAL POPULAR,Concejo Municipal,1804,19
FRENTE UNIDO NACIONAL POPULAR,Alcaldia,1385,1
FRENTE UNIDO NACIONAL POPULAR,Camara de Representantes,385,2
FUERZA AGROPECUARIA NACIONAL,Concejo Municipal,5456,56
FUERZA AGROPECUARIA NACIONAL,Senado,5005,2114
FUERZA CIUDADANA LA FUERZA DEL CAMBIO,Senado,431166,18698
FUERZA CIUDADANA LA FUERZA DEL CAMBIO,Gobernacion,382437,297
FUERZA CIUDADANA LA FUERZA DEL CAMBIO,Concejo Municipal,206316,2082
FUERZA CIUDADANA LA FUERZA DEL CAMBIO,Alcaldia,153354,119
FUERZA CIUDADANA LA FUERZA DEL CAMBIO,Asamblea Departamental,129322,2969
FUERZA CIUDADANA LA FUERZA DEL CAMBIO,Alcaldía Municipal,92175,1
FUERZA CIUDADANA LA FUERZA DEL CAMBIO,C??mara de Representantes,71075,180
FUERZA COMUNAL Y COMUNITARIA,Concejo Municipal,5774,20
FUERZA INDEPENDIENTE,Senado,212507,29344
FUERZA INDEPENDIENTE,Camara de Representantes,6124,92
FUERZA INDEPENDIENTE,Concejo Municipal,3344,19
FUERZA INNOVADORA ALTERNATIVA - FIA,Alcaldía Municipal,2499,1
FUERZA RENOVADORA,Alcaldía Municipal,1416,1
FUERZA SOCIAL,Concejo Municipal,139,7
FUERZA VIVA,Concejo Municipal,3443,18
FUNAFROPECOR,C??mara de Representantes,211,15
FUNDACION AFRO Y CULTURA LA ESPERANZA - FACE,C??mara de Representantes,7865,531
FUNDACION AFROCOLOMBIANA LIBERAL DEL DESARROLLO SOCIAL - AFROCODES,C??mara de Representantes,2162,1599
FUNDACION AFROCOLOMBIANOS EN ACCION,C??mara de Representantes,2013,1308
FUNDACION AFRODESCENDIENTE PROFESIONAL DE CORDOBA - FUNAFROPECOR,C??mara de Representantes,2263,1377
FUNDACION AFROGUAJIRA - FUNAGUA,C??mara de Representantes,15845,289
FUNDACION AMOR Y PAZ - FAP,C??mara de Representantes,1797,2409
FUNDACION COMUNIDADES DEL PACIFICO COLOMBIANO - FUNCOPACOL,C??mara de Representantes,3494,477
FUNDACION CULTURAL COSTA CARIBE - FUNCULCOSTA,C??mara de Representantes,1539,514
FUNDACION CULTURAL RAICES NEGRAS,C??mara de Representantes,11005,1034
FUNDACION DE DESARROLLO SOCIAL DEPORTIVA CULTURAL AMANDA SINISTERRA,C??mara de Representantes,1028,341
FUNDACION DEPORTIVA VIAFARA - FUNDEVIA,C??mara de Representantes,2823,2586
FUNDACION EBANO DE COLOMBIA - FUNECO,C??mara de Representantes,62004,1345
FUNDACION ESPERANZA AFRO - ESAFRO,C??mara de Representantes,14121,2860
FUNDACION ETNICA DE COLOMBIA - FUNETCOL,C??mara de Representantes,1695,1713
FUNDACION FUNDAPAS,C??mara de Representantes,35517,12504
FUNDACION INTEGRACION SOCIAL AFROCOLOMBIANA - FISA,C??mara de Representantes,15799,531
FUNDACION INTENSIDAD FUNDAIN,C??mara de Representantes,7958,2658
FUNDACION LABORAR POR COLOMBIA - FUNDALABOR,C??mara de Representantes,25593,2774
FUNDACION NEGROS SIN FRONTERAS - SINFRONTERAS,C??mara de Representantes,1630,247
FUNDACION PARA EL DESARROLLO  DE LA CUENCA DEL PACIFICO COLOMBIANO,C??mara de Representantes,1270,523
FUNDACION PARA EL DESARROLLO DE COMUNIDADES AFROCOLOMBIANAS BARACK OBAMA - FUNBARACK,C??mara de Representantes,1739,400
FUNDACION PARA EL DESARROLLO ECONOMICO DE LAS COMUNIDADES NEGRAS - FUDECON,C??mara de Representantes,3325,1919
FUNDACION PARA EL DESARROLLO INTEGRAL DEL AFRODESCENDIENTE - FUNDIAFRO,C??mara de Representantes,1589,1013
FUNDACION PARA EL DESARROLLO INTEGRAL PARA LA COMUNIDAD AFROCOLOMBIANA - FUNIDEA,C??mara de Representantes,1572,326
FUNDACION PARA EL DESARROLLO LA SOLIDARIDAD Y LA INTEGRACION DE LAS COMUNIDADES NEGRAS DE COLOMBIA - FUNDECH,C??mara de Representantes,2013,1262
FUNDACION PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS,C??mara de Representantes,3356,720
FUNDACION PARA EL DESARROLLO Y DEFENSA DE LOS DERECHOS DE LAS COMUNIDADES NEGRAS Y MARGINADAS - FUNDECON,C??mara de Representantes,22764,1419
FUNDACION PARA EL DESARROLLO Y LA DEMOCRACIA DE LAS COMUNIDADES NEGRAS DE LA COSTA ATLANTICA - FUNDECONA,C??mara de Representantes,1484,503
FUNDACION PARA EL FOMENTO E INTEGRACION DE LAS NEGRITUDES,C??mara de Representantes,1749,983
FUNDACION RENACER PARA TODOS,C??mara de Representantes,1076,1260
FUNDACION SEMILLAS SIN ODIO COLOMBIA,C??mara de Representantes,854,355
FUNDACION SOCIAL MAGENDE MI,C??mara de Representantes,633,445
FUNDACION TAITA ZIPA,C??mara de Representantes,2610,1562
FUNDACION TAMBOR YORUBA,C??mara de Representantes,2860,399
FUNDACIÓN ALCATRAZ,C??mara de Representantes,368,40
FUNDACIÓN AMIGOS POR UN MEJOR FUTURO,C??mara de Representantes,1169,41
FUNDACIÓN DE DESPLAZADOS DE ARACATACA,C??mara de Representantes,328,36
FUNDACIÓN DE MUJERES DESPLAZADAS Y VÍCTIMAS POR EL CONFLICTO,C??mara de Representantes,94,18
FUNDACIÓN DE VÍCTIMAS DEL CESAR - FUNDAVICE,C??mara de Representantes,256,20
FUNDACIÓN ESPERANZA MÉDICA,C??mara de Representantes,7025,68
FUNDACIÓN ETNO EDUCATIVA EMPRESARIAL (FUNDEE),C??mara de Representantes,51,12
FUNDACIÓN GRUPO AMIGOS DE LA BIBLIOTECA,C??mara de Representantes,670,24
FUNDACIÓN HUELLA NATIVA,C??mara de Representantes,652,38
FUNDACIÓN IGUALDAD SOCIAL,C??mara de Representantes,4069,50
FUNDACIÓN LA NUEVA COLONIA UNIDA,C??mara de Representantes,1096,70
FUNDACIÓN MVC,C??mara de Representantes,136,16
FUNDACIÓN PARA EL DESARROLLO INTEGRAL DE VÍCTIMAS Y DISCAPACITADOS FUNDAMASVIDA,C??mara de Representantes,1351,23
FUNDACIÓN PESCAITO,C??mara de Representantes,251,24
FUNDACIÓN POR UN VIVIR MEJOR - FUNVIMEJOR,C??mara de Representantes,3758,39
FUNDACIÓN PROCRECER,C??mara de Representantes,288,33
FUNDACIÓN RENACER SOCIAL DEL PACÍFICO COLOMBIANO,C??mara de Representantes,469,12
FUNDACIÓN SOCIAL AFROCOLOMBIANOS DEL PACÍFICO,C??mara de Representantes,602,12
FUNDACIÓN SOLUCIONES SOCIALES Y EMPRESARIALES - SOCIEM,C??mara de Representantes,929,15
FUNVISOC,C??mara de Representantes,480,32
G.S.C  !MI PASION ES GINEBRA!,Alcaldía Municipal,616,1
G.S.C  + UNIDOS,Alcaldía Municipal,1199,1
G.S.C  ACACIAS ES FUTURO,Alcaldía Municipal,124,1
G.S.C  ACCION SOGAMOSO,Concejo Municipal,3965,18
G.S.C  ACCIONES POR NEIVA,Alcaldía Municipal,39974,1
G.S.C  ALIANZA POR IPIALES,Concejo Municipal,6502,18
G.S.C  ALTERNATIVA DEMOCRATICA,Concejo Municipal,8568,35
G.S.C  ALTERNATIVA DEMOCRATICA,Alcaldía Municipal,7333,1
G.S.C  ARAUCA ES REAL,Alcaldía Municipal,10761,1
G.S.C  ARAUCA ES REAL,Concejo Municipal,3134,16
G.S.C  ARMANDO LA DIFERENCIA,Alcaldía Municipal,5275,1
G.S.C  AVANCEMOS,Alcaldía Municipal,3892,1
G.S.C  AVANCEMOS,Concejo Municipal,2136,14
G.S.C  AVANZA TAURAMENA,Alcaldía Municipal,2375,1
G.S.C  AVANZA TAURAMENA,Concejo Municipal,995,10
G.S.C  AVANZA YACOPI,Alcaldía Municipal,3315,1
G.S.C  AVANZA YACOPI,Concejo Municipal,1307,12
G.S.C  CALDAS PARA TODOS,Alcaldía Municipal,2271,1
G.S.C  CALDAS PARA TODOS,Concejo Municipal,2035,13
G.S.C  CALDERON EL CORAZON DEL PUEBLO,Alcaldía Municipal,1329,1
G.S.C  CAMBIEMOS,Alcaldía Municipal,8680,1
G.S.C  CAQUEZA COMPROMISO DE TODOS,Alcaldía Municipal,1879,1
G.S.C  CARAMANTA PARA VOLVER A CREER,Alcaldía Municipal,2003,1
G.S.C  CHAGUANI ES NUESTRO COMPROMISO,Alcaldía Municipal,659,1
G.S.C  CHIA ALIANZA DE TODOS,Alcaldía Municipal,9618,1
G.S.C  CHIA ALIANZA DE TODOS,Concejo Municipal,2689,15
G.S.C  CHIA SEGURA,Concejo Municipal,2749,16
G.S.C  CIUDADANOS LIBRES,Alcaldía Municipal,141384,1
G.S.C  CIUDADANOS POR EL CAMBIO,Concejo Municipal,8803,19
G.S.C  CODAZZI HONESTO -BUENO - RESPONSABLE,Concejo Municipal,2167,16
G.S.C  COMPROMETIDOS CON LA ESPERANZA,Concejo Municipal,3851,18
G.S.C  COMPROMISO CIUDADANO CHIA,Concejo Municipal,906,16
G.S.C  COMPROMISO CIUDADANO COTA,Concejo Municipal,488,11
G.S.C  COMPROMISO CIUDADANO POR CALI,Alcaldía Municipal,133793,1
G.S.C  COMPROMISO CIUDADANO POR CARTAGENA,Alcaldía Municipal,1738,1
G.S.C  COMPROMISO CIUDADANO POR LA CEJA,Alcaldía Municipal,849,1
G.S.C  COMPROMISO CIUDADANO POR PASTO,Concejo Municipal,8570,18
G.S.C  COMPROMISO CIUDADANO TOCANCIPA,Concejo Municipal,1066,13
G.S.C  COMPROMISO DE TODOS,Alcaldía Municipal,850,1
G.S.C  CONSTRUYENDO CONFIANZA,Concejo Municipal,2326,14
"G.S.C  COPACABANA 2020, PARA LA GENTE",Concejo Municipal,1932,16
G.S.C  COPACABANA+SOCIAL,Concejo Municipal,1380,16
G.S.C  CORRAMOS JUNTOS POR PASTO,Alcaldía Municipal,57458,1
G.S.C  COTENSE DE CORAZON,Concejo Municipal,584,11
G.S.C  CREO,Concejo Municipal,2881,16
G.S.C  DE CORAZON POR CHIA,Concejo Municipal,3445,16
G.S.C  DE LA MANO CON EL PUEBLO,Alcaldía Municipal,23273,1
G.S.C  DEMOCRACIA INTEGRAL VIDA Y PAZ,Asamblea Departamental,1373,98
G.S.C  DOSQUEBRADAS SI ES POSIBLE,Concejo Municipal,4108,17
G.S.C  EDUCANDO ANDO,Concejo Municipal,1751,15
G.S.C  EL CORAZON DEL VALLE - CONCEJO,Concejo Municipal,4493,20
G.S.C  EL MONO,Concejo Municipal,1979,5
G.S.C  EL PUEBLO DECIDE,Gobernaci??n,90477,15
G.S.C  EL PUEBLO PRIMERO,Alcaldía Municipal,10381,1
G.S.C  EL RETEN AVANZA,Alcaldía Municipal,3734,1
G.S.C  EN TUS ZAPATOS,Alcaldía Municipal,1634,1
G.S.C  EQUIPOAZUL,Concejo Municipal,18821,20
G.S.C  ESPERANZA Y FUTURO UNIDOS LO LOGRAREMOS,Concejo Municipal,1259,15
G.S.C  FIRME CON EL CHONTICO,Alcaldía Municipal,200297,1
G.S.C  FIRME POR IBAGUE,Concejo Municipal,12736,20
G.S.C  FIRME POR PLANETA,Alcaldía Municipal,13845,1
G.S.C  FIRMES CON EL ZULIA,Concejo Municipal,1509,13
G.S.C  FIRMES POR CHIGORODO,Concejo Municipal,856,14
G.S.C  FLORECE CHIMICHAGUA,Alcaldía Municipal,392,1
G.S.C  FORTALECIENDO FACATATIVA,Concejo Municipal,1298,17
G.S.C  FUERZA CIUDADANA,Gobernaci??n,344952,29
G.S.C  FUERZA CIUDADANA,Alcaldía Municipal,130600,1
G.S.C  FUERZA CIUDADANA NEIVA,Concejo Municipal,7794,19
G.S.C  FUERZA DEMOCRATICA,Concejo Municipal,501,10
