"codigo_partido","nombre","cluster","tradicional","gradonac","ideologia"
19800014,"MOVIMIENTO DE ACCI<U+00D3>N C<U+00CD>VICA NACIONAL","2",0,99,4
19800015,"MOVIMIENTO FUERZA POPULAR","2",0,99,4
19800016,"MOVIMIENTO NACIONAL DE PENSIONADOS","2",0,99,4
19800017,"MOVIMIENTO AMIGOS DEL ORDEN Y RECONQUISTA MORAL ""AMOR""","2",0,99,4
19800018,"MOVIMIENTO COALICI<U+00D3>N BELISARISTA","2",0,99,4
19800019,"MOVIMIENTO INTEGRACI<U+00D3>N GREMIAL POPULAR","2",0,99,4
19800020,"MOVIMIENTO NACIONALISTA COLOMBIANO","2",0,99,4
19800021,"MOVIMIENTO NACIONAL BELISARISTA BIPARTIDISTA","2",0,99,4
19800022,"SOCIALISTA COLOMBIANO","2",0,99,4
19800023,"MOVIMIENTO DE UNIDAD DE BASES POPULARES DE BOGOT<U+00C1>","2",0,99,4
19800024,"MOVIMIENTO ACCI<U+00D3>N POL<U+00CD>TICA DE LOS TRABAJADORES - MAPO","2",0,99,4
19800025,"MOVIMIENTO C<U+00CD>VICO COMUNITARIO POR BOGOT<U+00C1> Y CUNDINAMARCA","2",0,99,4
19800026,"MOVIMIENTO NACIONAL POPULAR BELISARISTA","2",0,99,4
19800027,"ACCI<U+00D3>N COMUNITARIA NACIONAL","2",0,99,4
19800028,"SOCIALISTA POPULAR","2",0,99,4
19800029,"NACIONAL DE LOS TRABAJADORES","2",0,99,4
19800030,"MOVIMIENTO C<U+00CD>VICO COMUNAL DE BOGOT<U+00C1> Y NACIONAL DE COLOMBIA","2",0,99,4
19800032,"MOVIMIENTO NACIONAL PARA PROGRESO COLOMBIANO","2",0,99,4
19800033,"MOVIMIENTO BIPARTIDISTA POPULAR","2",0,99,4
19800034,"MOVIMIENTO NACIONAL POPULAR DE PENSIONADOS","2",0,99,4
19800035,"MOVIMIENTO HUMANITARIO ""MOHEL""","2",0,99,4
19800036,"VANGUARDIA IDEOL<U+00D3>GICA REV. GAITANISTA","2",0,99,4
19800037,"MOVIMIENTO POPULAR OPOSICI<U+00D3>N UNIFICADA","2",0,99,4
19800038,"MOVIMIENTO DE AGRUPACI<U+00D3>N CAMPESINA","2",0,99,4
19800039,"MOVIMIENTO C<U+00CD>VICO POPULAR CAMPESINO","2",0,99,4
19800040,"COMANDO POL<U+00CD>TICO POR Y PARA C<U+00DA>CUTA","2",0,99,4
19800041,"MOVIMIENTO INDEPENDIENTE ""FUNDES""","2",0,99,4
19800042,"MOVIMIENTO C<U+00CD>VICO POPULAR DEL CATATUMBO","2",0,99,4
19800043,"MOVIMIENTO CIVICO AGRUPAR","2",0,99,4
19800045,"LABORISTA COLOMBIANO","2",0,99,4
19800046,"MOVIMIENTO CIVICO PRO-VIVIENDA DE RISARALDA","2",0,99,4
19800047,"MOVIMIENTO POLITICO INDEPENDIENTE","2",0,99,4
19800048,"MOVIMIENTO DE UNIDAD CAMPESINA","2",0,99,4
19800049,"MOVIMIENTO DEL PUEBLO","2",0,99,4
19800050,"MOV. NAL. PARA CANDIDATOS DE LOS TRABAJADORES","2",0,99,4
19800051,"NACIONAL LABORISTA","2",0,99,4
19800055,"MOVIMIENTO DE NEGRITUDES Y MESTIZAJE","2",0,99,4
