"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.826086956521739,1,1,0.996837944664032,1,0.826086956521739,0.904761904761905,0.0179127725856698,0.014797507788162,0.014797507788162,0.91304347826087
"Class: 2",1,0.994858611825193,0.992156862745098,1,0.992156862745098,1,0.996062992125984,0.394080996884735,0.394080996884735,0.397196261682243,0.997429305912596
"Class: 3",1,1,1,1,1,1,1,0.375389408099688,0.375389408099688,0.375389408099688,1
"Class: 4",0.996336996336996,0.999010880316518,0.996336996336996,0.999010880316518,0.996336996336996,0.996336996336996,0.996336996336996,0.212616822429907,0.21183800623053,0.212616822429907,0.997673938326757
